t,bat,h,yaw
1770328171.952569,50.0,60.0,36.0
1770328171.9684432,50.0,60.0,36.0
1770328171.9999938,50.0,60.0,36.0
1770328172.0154116,50.0,60.0,36.0
1770328172.046568,50.0,60.0,36.0
1770328172.0615296,50.0,60.0,36.0
1770328172.0932577,50.0,60.0,36.0
1770328172.108256,50.0,60.0,36.0
1770328172.139896,50.0,60.0,36.0
1770328172.1554666,50.0,60.0,36.0
1770328172.186307,50.0,60.0,36.0
1770328172.2020655,50.0,60.0,36.0
1770328172.2341423,50.0,60.0,36.0
1770328172.2485867,50.0,60.0,36.0
1770328172.2795365,50.0,60.0,36.0
1770328172.2953877,50.0,60.0,36.0
1770328172.3263185,50.0,60.0,36.0
1770328172.3412807,50.0,60.0,36.0
1770328172.3725595,50.0,60.0,36.0
1770328172.3884547,50.0,60.0,36.0
1770328172.419431,50.0,60.0,36.0
1770328172.4354682,50.0,60.0,36.0
1770328172.4673393,50.0,60.0,36.0
1770328172.4829493,50.0,60.0,36.0
1770328172.5139086,50.0,60.0,36.0
1770328172.5292268,50.0,60.0,36.0
1770328172.5600698,50.0,60.0,36.0
1770328172.5748694,50.0,60.0,36.0
1770328172.6060152,50.0,60.0,36.0
1770328172.6214452,50.0,60.0,36.0
1770328172.653302,50.0,60.0,36.0
1770328172.6684139,50.0,60.0,36.0
1770328172.6996925,50.0,60.0,36.0
1770328172.715388,50.0,60.0,36.0
1770328172.7468753,50.0,60.0,36.0
1770328172.761782,50.0,60.0,36.0
1770328172.793157,50.0,60.0,36.0
1770328172.8084939,50.0,60.0,36.0
1770328172.8392909,50.0,60.0,36.0
1770328172.8548393,50.0,60.0,36.0
1770328172.901896,50.0,60.0,36.0
1770328172.917763,50.0,60.0,36.0
1770328172.96494,50.0,60.0,36.0
1770328172.9800587,50.0,60.0,36.0
1770328173.0115957,50.0,60.0,36.0
1770328173.0266137,50.0,60.0,36.0
1770328173.0572155,50.0,60.0,36.0
1770328173.0731254,50.0,60.0,36.0
1770328173.1033216,50.0,60.0,36.0
1770328173.1192908,50.0,60.0,36.0
1770328173.1502838,50.0,70.0,36.0
1770328173.165461,50.0,70.0,36.0
1770328173.1960802,50.0,70.0,36.0
1770328173.210997,50.0,70.0,36.0
1770328173.242011,50.0,70.0,36.0
1770328173.2568712,50.0,70.0,36.0
1770328173.2879395,50.0,70.0,36.0
1770328173.3032777,50.0,70.0,36.0
1770328173.3349826,50.0,70.0,36.0
1770328173.350064,50.0,70.0,36.0
1770328173.381999,50.0,70.0,36.0
1770328173.39802,50.0,70.0,36.0
1770328173.4285862,50.0,70.0,36.0
1770328173.4444294,50.0,70.0,36.0
1770328173.4755278,50.0,70.0,36.0
1770328173.4908538,50.0,70.0,36.0
1770328173.5208955,50.0,70.0,36.0
1770328173.5367908,50.0,70.0,36.0
1770328173.568344,50.0,70.0,36.0
1770328173.5838637,50.0,70.0,36.0
1770328173.6299145,50.0,70.0,36.0
1770328173.6454005,50.0,70.0,36.0
1770328173.677278,50.0,60.0,36.0
1770328173.6923416,50.0,60.0,36.0
1770328173.7232528,50.0,60.0,36.0
1770328173.7387462,50.0,60.0,36.0
1770328173.7858067,50.0,70.0,37.0
