t,seq,dt_s,fps_inst,frame_age_ms,camera_to_command_ms,assoc_d,assoc_hands,assoc_mode,assoc_ms_ran,assoc_ok,assoc_reason,assoc_skeleton_hits,command_exec_ms,command_exec_ms_ran,face_detect_ms,face_detect_ms_ran,face_id_ms,face_id_ms_ran,flying,hand_detect_ms,hand_detect_ms_ran,mode,mode_manager_ms,mode_manager_ms_ran
1790262202.9084163,294,0.08691859245300293,11.505018337022682,3.0260086059570312,29.160999998566695,,0,,0,0,no_face,0,0.0036999990697950125,1,,0,,0,0,29.120100000000093,1,search_360,0.014299999747890979,1
1790262202.9144013,295,0.0059850215911865234,167.08377484762778,0.9968280792236328,0.04839999746764079,,0,,0,0,no_face,0,0.005099998816149309,1,,0,,0,0,,0,search_360,0.014500001270789653,1
1790262202.9782913,296,0.06388998031616211,15.651906528245277,2.6748180389404297,30.469500001345295,,0,,0,0,no_face,0,0.00419999923906289,1,6.564899998920737,1,,0,0,23.86330000081216,1,search_360,0.01599999814061448,1
1790262202.983737,297,0.005445718765258789,183.63048903287947,6.44230842590332,0.04769999941345304,,0,,0,0,no_face,0,0.005099998816149309,1,,0,,0,0,,0,search_360,0.014700002793688327,1
1790262203.0740972,298,0.09036016464233398,11.066823571628346,0.0,29.586700002255384,,0,,0,0,no_face,0,0.0037000027077738196,1,,0,,0,0,29.545800000050804,1,search_360,0.013599998055724427,1
1790262203.080092,299,0.0059947967529296875,166.81132675787464,2.0067691802978516,0.050400001782691106,,0,,0,0,no_face,0,0.004900000931229442,1,,0,,0,0,,0,search_360,0.014299999747890979,1
1790262203.147826,300,0.0677340030670166,14.763633547696738,0.9970664978027344,35.143900000548456,,0,,0,0,no_face,0,0.0040000013541430235,1,6.78419999894686,1,,0,0,28.32259999922826,1,search_360,0.014799999917158857,1
1790262203.1538072,301,0.0059812068939208984,167.19033762506479,11.963844299316406,0.03460000152699649,,0,,0,0,no_face,0,0.0032999996619764715,1,,0,,0,0,,0,search_360,0.010399999155197293,1
1790262203.239881,302,0.0860738754272461,11.61792698465459,1.149892807006836,27.500600001076236,,0,,0,0,no_face,0,0.0035000011848751456,1,,0,,0,0,27.461800000310177,1,search_360,0.013299999409355223,1
1790262203.2458692,303,0.005988121032714844,166.99729256250995,1.9977092742919922,0.0562999994144775,,0,,0,0,no_face,0,0.004699999408330768,1,,0,,0,0,,0,search_360,0.01680000059423037,1
